words,rank,title,h1,snippet,links,total_result,snippet_printable_ratio,is_binary_snippet,is_pdf_result,domain,domain_freq,title_query_coverage,h1_query_coverage,title_exact_phrase,title_starts_with_query,title_len_chars,title_len_words,h1_len_chars,snippet_len_chars,h1_missing,is_wikipedia,top10,top3
Artificial intelligence,1,Beginning Your Journey to Implementing Artificial Intelligence | SoftwareONE Blog,Beginning Your Journey to Implementing Artificial Intelligence,Gérer les éditeurs grâce à des services de conseil,https://www.softwareone.com/fr-fr/blog/articles/2021/04/05/implementing-artificial-intelligence-part-1,776000000,1.0,False,0,softwareone.com,1,1.0,1.0,1,0,81,10,62,50,0,0,1,1
Artificial intelligence,2,Artificial intelligence - Wikipedia,Artificial intelligence,"
",https://en.wikipedia.org/wiki/Artificial_intelligence,776000000,1.0,False,0,en.wikipedia.org,56,1.0,1.0,1,1,35,4,23,1,0,1,1,1
Artificial intelligence,3,Artificial general intelligence - Wikipedia,Artificial general intelligence,"
",https://en.wikipedia.org/wiki/Artificial_general_intelligence,776000000,1.0,False,0,en.wikipedia.org,56,1.0,1.0,0,0,43,5,31,1,0,1,1,1
Artificial intelligence,4,Symbolic artificial intelligence - Wikipedia,Symbolic artificial intelligence,"Symbolic artificial intelligence is the term for the collection of all methods in artificial intelligence research that are based on high-level ""symbolic"" (human-readable) representations of problems, logic and search. Symbolic AI was the dominant paradigm of AI research from the mid-1950s until the late 1980s.[1][page needed][2][page needed]
",https://en.wikipedia.org/wiki/Symbolic_artificial_intelligence,776000000,0.9942028985507246,False,0,en.wikipedia.org,56,1.0,1.0,1,0,44,5,32,345,0,1,1,0
Artificial intelligence,5,Philosophy of artificial intelligence - Wikipedia,Philosophy of artificial intelligence,"The philosophy of artificial intelligence is a branch of the philosophy of technology that explores artificial intelligence and its implications for knowledge and understanding of intelligence, ethics, consciousness, epistemology, and free will.[1] Furthermore, the technology is concerned with the creation of artificial animals or artificial people (or, at least, artificial creatures; see artificial life) so the discipline is of considerable interest to philosophers.[2] These factors contributed to the emergence of the philosophy of artificial intelligence. Some scholars argue that the AI community's dismissal of philosophy is detrimental.[3]
",https://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence,776000000,1.0,False,0,en.wikipedia.org,56,1.0,1.0,1,0,49,6,37,651,0,1,1,0
Artificial intelligence,6,Artificial Intelligence (AI) Definition,"
Artificial Intelligence (AI)",Jake Frankenfield is an experienced writer on a wide range of business news topics and his work has been featured on Investopedia and The New York Times among others.,https://www.investopedia.com/terms/a/artificial-intelligence-ai.asp,776000000,1.0,False,0,investopedia.com,8,1.0,1.0,1,1,39,4,29,166,0,0,1,0
Artificial intelligence,7,Machine Learning Definition,"
Machine Learning",Jake Frankenfield is an experienced writer on a wide range of business news topics and his work has been featured on Investopedia and The New York Times among others.,https://www.investopedia.com/terms/m/machine-learning.asp,776000000,1.0,False,0,investopedia.com,8,0.0,0.0,0,0,27,3,17,166,0,0,1,0
Artificial intelligence,8,Deep Learning Definition,"
Deep Learning","
Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making. Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.
",https://www.investopedia.com/terms/d/deep-learning.asp,776000000,1.0,False,0,investopedia.com,8,0.0,0.0,0,0,24,3,14,402,0,0,1,0
Artificial intelligence,9,Weak AI Definition,"
Weak AI",Jake Frankenfield is an experienced writer on a wide range of business news topics and his work has been featured on Investopedia and The New York Times among others.,https://www.investopedia.com/terms/w/weak-ai.asp,776000000,1.0,False,0,investopedia.com,8,0.0,0.0,0,0,18,3,8,166,0,0,1,0
Artificial intelligence,10,Strong AI,"
Strong AI",Jake Frankenfield is an experienced writer on a wide range of business news topics and his work has been featured on Investopedia and The New York Times among others.,https://www.investopedia.com/terms/s/strong-ai.asp,776000000,1.0,False,0,investopedia.com,8,0.0,0.0,0,0,9,2,10,166,0,0,1,0
